"Id-offerta","CIG","oggetto-offerta","data-contratto-offerta","importo-offerta","offerente","data-ricezione-offerta"
"20237","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"952977.01","SAMOA RESTAURI SRL","2012-09-07"
"20238","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"1023173.68","Edilerica","2012-09-07"
"20239","4106773848","Restauro architettonico e strutturale Casa dei Dioscuri",,"1071116.55","Edil COOP","2012-09-07"
"20250","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"396703.47","RCR Edilizia","2012-09-04"
"20251","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"354087.06","TEKNO DOMUS RESTAURI S.R.L.","2012-09-07"
"20252","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"406072.63","NEI RESTAURO E COSTRUZIONI SRL","2012-09-07"
"20253","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"305184.1","SAMOA RESTAURI SRL","2012-07-07"
"20254","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"315282.47","ES SRL PROGETTI E SISTEMI","2012-09-05"
"20255","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"304949.57","Arkaikos Restauri","2012-09-05"
"20436","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"310408.01","TECNORES","2012-09-06"
"20437","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"468878.47","Lande","2012-09-06"
"20438","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico","2013-05-14","303687","Perillo Costruzioni Generali","2012-09-06"
"20442","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"397951.59","Lattanzi","2012-09-06"
"20449","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"401664.73","Valentino Giuseppe - Società di costruzioni e restauro monumenti","2012-09-05"
"20450","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"361674.14","Iota Restauro","2012-09-05"
"20451","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"355343.96","IMPRESA INGG MARIO E PAOLO COSENZA SRL","2012-09-06"
"20457","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"437388.33","Galadini & C.","2012-09-07"
"20458","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"408705.95","CO.GE.P.AR. COSTRUZIONI GENERALI SAS","2012-09-07"
"20459","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"444161.96","Edil COOP","2012-09-07"
"20460","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"387580.51","ARCHEO&RESTAURI SRL","2012-09-07"
"20461","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"438424.12","Edilerica","2012-09-07"
"20462","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"368132.27","Lucci Salvatore Impresa di Costruzioni","2012-09-05"
"20463","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"339473.08","IMPROMED CONSORZIO STABILE S.p.A.","2012-09-07"
"20464","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"289598.22","MINERVA di Vassallo Ludovico C.","2012-09-07"
"20467","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"326646.03","Forte Costruzioni e Restauri","2012-09-04"
"20483","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"372477.13","Gherardi ing. Giancarlo","2012-07-07"
"20484","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"282667.58","I.CO.RES. S.r.l.","2012-07-07"
"20485","41064963B3","Consolidamento e restauro delle strutture della Casa del Criptoportico",,"270672.65","EDIL.RE.CO.S","2012-09-06"
"21047","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"116540.2","Varchetta Maurilio Impresa Edile","2012-08-30"
"21135","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"137006.77","Isam","2012-08-30"
"21143","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"120983.66","General Costruzioni di Patella Giovanni","2012-09-03"
"21144","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"135068.29","RCR Edilizia","2012-09-04"
"21146","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse","2013-11-06","108984.75","Forte Costruzioni e Restauri","2012-09-04"
"21147","410706486C","Restauro architettonico e messa in sicurezza della Casa delle Pareti Rosse",,"117808.42","ES SRL PROGETTI E SISTEMI","2012-09-05"
